guid/image,label
047b864f-0753-448b-9483-f990ae41abaf/0000,2
047b864f-0753-448b-9483-f990ae41abaf/0001,1
047b864f-0753-448b-9483-f990ae41abaf/0002,1
047b864f-0753-448b-9483-f990ae41abaf/0003,1
047b864f-0753-448b-9483-f990ae41abaf/0004,1
047b864f-0753-448b-9483-f990ae41abaf/0005,1
047b864f-0753-448b-9483-f990ae41abaf/0006,1
047b864f-0753-448b-9483-f990ae41abaf/0007,1
047b864f-0753-448b-9483-f990ae41abaf/0008,1
047b864f-0753-448b-9483-f990ae41abaf/0009,1
047b864f-0753-448b-9483-f990ae41abaf/0010,1
047b864f-0753-448b-9483-f990ae41abaf/0011,1
047b864f-0753-448b-9483-f990ae41abaf/0012,1
047b864f-0753-448b-9483-f990ae41abaf/0013,1
047b864f-0753-448b-9483-f990ae41abaf/0014,1
047b864f-0753-448b-9483-f990ae41abaf/0015,1
047b864f-0753-448b-9483-f990ae41abaf/0016,1
047b864f-0753-448b-9483-f990ae41abaf/0017,1
047b864f-0753-448b-9483-f990ae41abaf/0018,1
047b864f-0753-448b-9483-f990ae41abaf/0019,1
047b864f-0753-448b-9483-f990ae41abaf/0020,1
047b864f-0753-448b-9483-f990ae41abaf/0021,1
047b864f-0753-448b-9483-f990ae41abaf/0022,1
047b864f-0753-448b-9483-f990ae41abaf/0023,1
047b864f-0753-448b-9483-f990ae41abaf/0024,1
047b864f-0753-448b-9483-f990ae41abaf/0025,1
047b864f-0753-448b-9483-f990ae41abaf/0026,1
047b864f-0753-448b-9483-f990ae41abaf/0027,1
047b864f-0753-448b-9483-f990ae41abaf/0028,1
047b864f-0753-448b-9483-f990ae41abaf/0029,1
047b864f-0753-448b-9483-f990ae41abaf/0030,1
047b864f-0753-448b-9483-f990ae41abaf/0031,1
047b864f-0753-448b-9483-f990ae41abaf/0032,1
047b864f-0753-448b-9483-f990ae41abaf/0033,1
047b864f-0753-448b-9483-f990ae41abaf/0034,1
047b864f-0753-448b-9483-f990ae41abaf/0035,1
047b864f-0753-448b-9483-f990ae41abaf/0036,1
047b864f-0753-448b-9483-f990ae41abaf/0037,1
047b864f-0753-448b-9483-f990ae41abaf/0038,1
047b864f-0753-448b-9483-f990ae41abaf/0039,1
047b864f-0753-448b-9483-f990ae41abaf/0040,1
047b864f-0753-448b-9483-f990ae41abaf/0041,1
047b864f-0753-448b-9483-f990ae41abaf/0042,1
047b864f-0753-448b-9483-f990ae41abaf/0043,1
047b864f-0753-448b-9483-f990ae41abaf/0044,1
047b864f-0753-448b-9483-f990ae41abaf/0045,1
047b864f-0753-448b-9483-f990ae41abaf/0046,1
047b864f-0753-448b-9483-f990ae41abaf/0047,1
047b864f-0753-448b-9483-f990ae41abaf/0048,1
047b864f-0753-448b-9483-f990ae41abaf/0049,1
047b864f-0753-448b-9483-f990ae41abaf/0050,1
047b864f-0753-448b-9483-f990ae41abaf/0051,1
047b864f-0753-448b-9483-f990ae41abaf/0052,1
047b864f-0753-448b-9483-f990ae41abaf/0053,1
047b864f-0753-448b-9483-f990ae41abaf/0054,1
047b864f-0753-448b-9483-f990ae41abaf/0055,1
047b864f-0753-448b-9483-f990ae41abaf/0056,1
047b864f-0753-448b-9483-f990ae41abaf/0057,1
047b864f-0753-448b-9483-f990ae41abaf/0058,1
047b864f-0753-448b-9483-f990ae41abaf/0059,1
047b864f-0753-448b-9483-f990ae41abaf/0060,1
047b864f-0753-448b-9483-f990ae41abaf/0061,1
